board_state,solution,moves
wwwwwwwxwwwwwwxxwwwwbbbxwwwwwbbbbwwbwbbbbwwwwwbbbbwwwwwbbwwwwwww w,h6,g7 h7
wwwwwwwxwwwwwwxbwwwwwwbwwwwwwbwwbwwbwwbwbwwwwwbwbbwwwwwwbwwwwwww w,h8,g7
wwwwwwwwwwwwwwwwwwwbwbwwwwbwwwwwwwwwwbwwwwwwwwwwwwwbbwxwbbbbbxwx b,f1,g2
xxwwwwbbwwwwwwwbwwwbbbbbwwbwbwwbwwbbwwwbwwbwbbwbwbwbwbbbbbbbbbbb b,a8,b8
xwwwwwwbxxwbwwbbwwwwwbwbbbbbbbbbbbwwbwbbbwbbwbwbbbbbbbbbbbbbbbbb b,a8,a7 b7
xbxwwwwbbwwwwwbbbwwwwbwbbwbwbbwbbwbbwwwbbwwwbwwbbwwwwwwbxxbwwwwb b,a1,a8 c8 b1
wwwwwwxxwwwbbbxwwwbwbbwwwbbwbwwwwbwbwbwwwwbwbwbwwwwwbbbwbbbbbbbw w,g8,g7
xxwwwwbwxxwwwwbwbwwwbbbwbwwbbbbwbwbbbwbbbbbbwbbwbbwwwwbwbbbbbbbb b,a7,b8 b7
xxwwwwbwbwwwwwbwbwwwbbbwbwbbbbbwbwbbbwbbbbbbwbbwbbwwwwbwbbbbbbbb b,a8,b8
xxxwwbbwxxwwwbbbwwwwwbbbbwbbbbbbbbwbbbbbbwbbbbbbbbwwwbbbbbbbbbbb b,b8,b7 a7 c8
xbbbbbxxbbbbwbxwbbbbbbwwbbwbbwbwbwbbbbwwbwbbbbwwbwwwwwwwbwwwwwwb b,h8,g7
wwwwwwwbxwbbwwwbxwwwbbwwwwbwbbwwwwbbwwbwwwbwwwwwbwwwwwwwwwbbbwxx b,h1,a7 g1 a6
wwwwwwwbxwbbwwwbxwwwbbwbwwbwbbwbwwbbwwbbwwbwwwwbbwwwwwwbwwbbbwxb b,g1,a7 a6
wbbbbbwbwbbbbbbbwbwwbbwbwbbbbwbbwbbbbbwbwwbwbbwbxxwbwwwbxwwwwxwb b,f1,b2 a2
wbbbbbwbwbbbbbbbwbwwbbwbwbbbbwbbwbbbbbwbwwbbbbwbxxwbbbbbxwwwwbbb b,a1,b2 a2
wbbbbbwbwbbbbbbbwbwwbbwbwbbbbwbbwbbbbbwbwwbbbbwbxxwbbbbbbbbbbbbb b,a2,b2
bbbbbbbxbbwbwwwwbwbwbwwwbwbbbwbwbwwwbwbwbwwbbbbwbxwbbbbwxbbbbbbx b,h8,b2
bbbbbbbbbbwbwwbwbwbwbbwwbwbbbwbwbwwwbwbwbwwbbbbwbxwbbbbwxbbbbbbx b,h1,b2
wwwwwwwwwwbbbbwwwbwwwwbwwbwwwwbwwbwwwwbwwbbwbbbwwbbbbwwwxxbbxwww w,e1,a1 b1
wwwwwwwwwwbbbbwwwwwwwwbwwwwwwwbwwwwwwwbwwwbwbbbwwwwbbwwwxwbbxwww b,e1,a1
xxwwbwwbxxwwwwwbxwwbbbwbwwwwbbwbwwwbbbbbwwbbbbwbwbwwbwbbbbbbbbbb b,a7,b8 a6 b7
xxbbbbwbwxbbbwwbwxbbwwwbwbbwwwwwwbbwwwwwwbwwwwwwwwwwwwwwwwwwwwww w,b6,b8 b7
xxbwwwwwwbwwwwwwwbbwwwwwwbbbwwbwwbbwwbwwwbbwbwbwwbbbbbbwxwwwwwww w,b8,a1 a8
wwwwwwwwbbbwwbwbbbwbbwbbbbbwbbbbbwbbbbbbbwwbbwbbbxwbbbbbbxwwwwbb b,b1,b2
bbwxxwbbbxwwwbbbbwwbbbbbbbwbbbbbbwwbbwbbbwbbwbwbbbwbbwwbbbbbbbbb b,b7,d8 e8
xwwwwwwwxbbbbwwwxxbbbwbwbbbbwbbwbbwwbwbwbwwbbbbwwwwwwwwwwwwwwwww w,a7,a6 b6 a8
bwwwbbbbbbbbbbbbbbbbwbwbbbbwwwbbbbbbwbwbwwwwbwbbxxwbwwwbxwwwwwxw b,g1,b2 a2
bwwwbbbbbbbbbbbbbbbbwbwbbbbwwwbbbbbwwbwbwbwwbwbbxwbbwwwbwwwwwwxw b,a2,g1
bbbbbbbbbbwwbbbbbbbbwbwbbbbbbbwbbbbbbbwbbbbbwbwbbbbwwwwbbbwwwwxx b,h1,g1
xxwwwwwbbwwwwwbbbwwbbbwbbwbwbbwbbwbbwbwbbwbbwwwbbbbbbwwbbbbbbbbb b,a8,b8
xxbwwwwwbxbwwbwwbbbwwwbwbbwwwbwwbbwwwbwwbbwwwbwwbwbbbbwwwwwwwwww w,b8,b7 a8
wwwwwwwwbbbbbbbbwbwbbwbbwbbwbbbbwbwbbbbbwbbwbbbbwbbbbbbbxxbbbwwb w,a1,b1
bwwwwwwwwbwbbwwwwwbwwwbwwwwbwbwwbbbbbbwwbxbbwbwwxxbbbwwwxxbbbbww w,b3,b2 b1 a2
wwwwwwwbwwwwwwwwwwwwbwwwwbwbwbwwwbwwbwbwwbwbwbbbwwbwbbxxwbbbbbxx w,g2,h2 g1
wwwwwwwbwwwwwwwwwwwwbwwwwbwwwbwwwbwwwwwwwbwbwwwbwwbbbbbbwbbbbbxx w,h1,g1
wbbwwwwxwwbwwwxwwbwwwwwwwwbwwwwwwwwwwwbwwwwwbwbwwwwwwbbwxxwwwwbw b,h8,g7 b1
wbbbbbbbwwbwwwxwwbwwwwwwwwbwwwwwwwwwwwbwwwwwbwbwwwwwwbbwxxwwwwbw b,g7,b1
wbbbbbbbwwbbbbbwwbwwwwbwwwbwwwbwwwwwwwbwwwwwbwbwwwwwwbbwxxwwwwbw b,a1,b1
bwwwwwxxbxwbbwxxbwbwbwwwbbbbwbbbbwbwbbbbbwwbwbbbbwwwbbbbwwwwwwwb b,b7,g7 h7 g8
bbbbbbbxbxwwwwwxbwbwbwwwbbbbwbbbbwbwbbbbbwwbwbbbbwwwbbbbwwwwwwwb b,b7,h7
wwwwwwwwwwbbwwwwwbwwbbbwwbbwbbbwwbwbbbbwwbbbbbbbwbbbbbbxbbbbbbxx w,h1,h2 g1
wwwwwwbwbbbbbbbwwbwwwwbwwwbwwbbwwwwwwwbwwwwwbwwwxwwwwwxwxbbbbbbx b,a1,a2 g2
bwwwwwxxbbwwwwwwbwbwwwwwbwbbwwbwbwbbbwbwbwwwbbbwbwwwwbbbwwwwwwww b,h8,g8
bbbbbbbbbbwbbbbwbbbwbbbbbbbbbwbbbbwbwbbxbbwwbwwwbwbbbwwwwxwwwwxx b,h1,g1 b1
bbbbbbbbbbwbbbbwbbbwbbbwbbbbbwbwbbwbwwwwbbwwbwwwbbbbbwwwwbwwwwxx b,h1,g1
bwwwwwwwbxwbbbxxbwbwbwwwbbwbwbwwbbwwbwbwbwbbwbbwbwwwbbbwbbbbbbbx b,g7,b7 h7
bbbbbbbbbbbbbbbbwbwwbbbbwbbwwbbbwbbwwwbwwbwbbwwwwwxbbwwwwxbbbbxx b,h1,c2 g1 b1
bbbbbbbbbbwwwwbbbbbwwbbbbbwwbwbbbbbwbbbbbbbwwwbbbbbbxxxbwwwwwwxx b,e2,g2 f2
bbbbbbbbwbbbbbbbwbbwwwwbwbwbwwbbwwbwbbbbwwwwbwwbxwwwwwwbxwwwwwbb b,a1,a2
bbbbbbbbbwwbbbbbbwwbbbbbbwbwbbbbwwwwwbbbbwwbbwbbxwbbbbbbxbbbbbbb b,a2,a1
xbbbbbbbxwwwwwwbbwwbbbwbwbwbbwbbwbbwwbwbbbwbwwbbbbbwbwwbbbwwwwww b,a8,a7
xbbbbbwwxxbwbwwwbbbbwwbwbbbwwwbwbbbwwwwwbbwbbwwwbbbbbbwwwwwwwwww w,a7,b7 a8
bbbxwwwwbbxxwbbbbwxwwbbbbbwbbbbbbbbbbbbbbbbbbbbbbbwwwwbbbbbbbbbb b,d8,c7 d7 c6
bbbbwwwwbbxxbbbbbwxwwbbbbbwbbbbbbbbbbbbbbbbbbbbbbbwwwwbbbbbbbbbb b,c7,d7 c6
wwwwwwwxwwwwwwbxwwwwwbwwwwbwbwwbwwwbwwwwbwbwwwwwxbwwwbwwbwwwwwww w,a2,h7
bbbbbbbbbbbbbbbbbbbwbbbbbbwbwbwbbbwwbwbbwwwwwbbbxxwwwwbwxxwwwwwx b,h1,b1 a2 b2
wwwwwwwbbwwwwwwwbwwbwwwwbwbwbwwwbbwbwbwwbbbwbbwwxbbbwbwwxwwwwwww w,a1,a2
xwwbbbbbbxwwbbbwbbwwwbwwbbwwwwwwbbwbbwwwbwwwwwwwbwwwwwwwbwwwwwww b,a8,b7
bbbbbbbwbbbbbbbbbwwwbwbwbwwbwwbwbwbwwwbwbbwwwwbwbxwwwwwxxxwwwwxw w,h2,b2
bbbbbbbwbbbbbbbbbwwwbwbwbwwbwwbwbwbwwwbwbwwwwwbwbwwwwwwxxxwwwwxw b,h2,g1 a1 b1
bbbbbbbwbbbbbbbbbwwwbbbwbwwbbwbwbwbbwwbwbwbwwwbwbwwwwwwxbwwwwwxw b,h2,g1
bwwwwwwwbbbwwwwwbbwbwwwwwbbbwwbwbbbwwbbwbbwwbwbwxbwwwwwwxbbbbwww w,a1,a2
wbbbbbbxwxbbbbwbwbbbbwwbwbwwwbwbwbbwbbwbbbwbbbwbbbbwbbwxbbwwwwwx b,h8,h1 h2
bbbbbbbxbbbbbbxbbwbbbwwbbbwbbbwbbbwwbbwbbwwwwbwbbxwwwwwbbbbbbbbb b,b2,g7
xxbwwwwwwbbbbbwwwwbwbwbwwbwwwbbwwbwwwbbwwwwbwwbwwwbwwbbwwwwwwbbw w,b8,a8
wbbbbwwbwwwwwwwbwwbwbwwbwwwbwbwbwwwwwbwbwwwwwbbbwwwwwbxxwwwwwxxx w,g2,h2 f1 g1
bwwwwwxxbbwwwxxxbbbwwwwbbbwbbwwbbbbbbbwbbbbwwbwbbbbbbbbbbbbbbbbb b,h7,g8 g7 f7
bbbbbbbxbbwwwxxxbbbwwwwbbbwbbwwbbbbbbbwbbbbwwbwbbbbbbbbbbbbbbbbb b,h7,g7 f7
bbbbbbbxbbbwwwwxbbbbbwwwbbwbwwwwbbbwbwwwwwwbwbwwxwwwwwwwxwwwwwwx b,h1,h7 a2
bbbbbbbxbbbwwwwxbbbbbwwwbbwbwwwwbbbwbwwwwwwbwbwwxwwwwwbwxwwwwwwb b,a1,h7 a2
bbbbbbbxbbbwwwwxbbbbbwwwbbwbwwwwbbbwbwwwbbwbwbwwbbbbbbbwbbbbbbbb b,h8,h7
xbbbbbbbxwbbbbbbwwwbwbwbwwbwbbwbwwbbwbwbwbbbwwwbbbbwbwwbwbbbbbbb b,a8,a7
xxwwwwwwxxwwbbbbbwwwwbbbbwwbbwbbbwbbbwwbbwbwwwbbbwwwwwbbbwwwwwwb b,a7,b8 b7
xxwwwwwwbwwwbbbbbwwwwbbbbwbbbwbbbwbbbwwbbwbwwwbbbwwwwwbbbwwwwwwb b,a8,b8
wbbwwwxxwwwwwwbxwwwwbbbbwwwwbbbbwwwwbbbbwwwwbwbbbbwwwbbbbbwwbbbw w,h8,h7
wbbwwwxxwwwwwwwwwwwwbbwwwwwwbwbwwwwwwbbwwwwwbwbwbbwwwbbwbbwwbbbw b,h8,g8
xxwbbbbbbwwxbbbbbbwwbbbbbbbwwwbbbbwbwwwbbbbbbwwbbbbbbbwbbbwwwwww b,d7,b8
bbbbbbwwbwbbbwwwbbbbbbwwbwwbwwwwbwbwwwwwbwwwwwwwbwwwwwxwxxwwwwwx b,a1,g2 b1
bbbbbbwwbwbbbwwwbbbbbbwwbwwbbwwwbwbbwwwwbwbwwwwwbwwwwwxwbwwwwwwx b,h1,g2
bwbbbbwxbwwwwwwxbwbwwwwbbwbwwbwbbbwbbbwbbwwwbbwbbwwwwwwwbwwwwwbb b,h7,h8
wwwwbwwwbbbbxbxwbbbbbwwwbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb b,e7,g7
xxwwwwwxwwwbbwxwwwwbwbbwwwwwbwbwwwbwwwbwwwbwwwbwwbwwbbbbbwwwwwww b,a8,b8 h8 g7
bwwwwwwxbwwbbwxwbwbbwbbwbwwbbwbwbwbwbwbwbwbwwbbwbbwwbbbbbwwwwwww b,h8,g7
wwwwwwwbbwwwwwwwbwwwwbwwbwbwwwwwbwwbwwwwbwwwbbwwbbbbbbbwbwbbwwxx b,h1,g1
wwwwwwwwbbbbbbwwxbwwbwwwbbwwwbwwbbbwwbwwwbbwwwwwxbbbbbwwxwwwwwww w,a2,a1 a6
wwwwwwwwbwbbwbxxbwwwbwbbbwwwwwbbbwbbwwbbbbwbbbbbbbbbbwwxbbbbbbxx w,g7,h7 h2
xxwwwwbwbwwwbbbwbwwwwbbwbwbwbwbwbwbbbbwwbwbbbwwwbwwwwwwwbbbbbbbw b,a8,b8
wwwwwwwwwwbbbwwwwbwbwwbwwbwwwbbwwbwwbwbwwbwbwbbwwbbwbbbwwbbbbbxx w,g1,h1
bbbbbbbbxxwwwwbbxwwwbbbbwwbbbbbbbwbbwwbbbwbwwwbbbbwbbbxbbwwwwwww b,g2,a7 b7 a6
bbbbbbbbxxwwwwbbxwwwbbbbwwbbbbbbbwbbbwbbbwbwwbbbbbwbbbbbbwwwwwww b,a7,b7 a6
wwwwwwwwbwbbbbbwbbwwwbbwbbwwbwbwbbwbwwbwbbbwwwbwxbwbbbwwxwwwwwww w,a2,a1
wwwwwwwwbbwbbwwwwwwwwbwwwwbwwwwwwwwbwwwwwwwbbbwwxxbbbbbwxbbbwwwb w,a1,b2
bbbbbbbbbwwwbbwwbwbbwbwwbbwwbwwxbbwbwbwxbwbwwwwwbwwwwwwbbwwbwwxx b,h1,h4 h5 g1
xxwwwwwbwbbbbwbwwwbwwbwwwbwwbbwwwbwwwbwwwbwwwwwwwwwwwwwwwwwwwwww w,a8,b8
xwwwwwwwwwwwwbwxwwwbbwbwwwwwwwbwwwbwwwbwxwwwbwbwbwwbbbbbxwwwwwww b,h7,a3 a8
bwwwwwwwwbwwwbbbwwbbbwbbwwwbwwbbwwbwbwbbxwwwbbbbbwwbbbbbxwwwwwww b,a1,a3
wwwwwwxxbwwbbbbxbwwwwbbwbwbwbwbwbwwbwwbwbwwwbwbwbwwbbbwbwwwwwwww w,h7,h8 g8
wwwwwwwxbwwbbwwxbwwwwbwwbwbwbwwwbwwbwwwwbwwwbwwwbwwbbbwbwwwwwwww b,h8,h7
xwwwwwwxxxwwwwwwwwwbbwwwwwbbwbbwwwbwwbbwwbwwwwbwbbbbbbbwwwwwwbbw b,h8,a7 b7
xwwwwwwbxxwwwwbwwwwbbbwwwwbbbbbwwwbbwbbwwbbwwwbwbbbbbbbwwwwwwbbw b,a8,a7 b7
bbbbbbbbxxwwwwbwwwwbbbwwwwbbbbbwwwbbwbbwwbbwwwbwbbbbbbbwwwwwwbbw b,a7,b7
wbbbbbbbwwwbwwbbwwbbwbwbwwbbbbwbbwbbbbwbwwwbbbwbxwwwwwwbxbbbbbwb b,a1,a2
wbbbbbbwwbbbbbbbwbwbbwbwwwbbbbwwwwbbwbwwwbwbwwwwwxbwbwxwwbwwwwww b,b2,g2
xbbbbbbwxwwwwbwwbbwbbwbwbbwwwbbwbbbwwbbwbbbbbwbwbbbbwbwwxwwwwwww w,a7,a1 a8
bbbbbbbbwbwwwwbbwwbbbbbbxwbbbbbbwwwbbwbbwxwwbbbbwxwwwbbbxxwwwwbb b,a5,b2 b1 b3
bbbbbbbbbbbwwwbbbbbbbbbbbbbbbbbbwwwbbwbbwxwwbbbbwxwwwbbbxxwwwwbb b,a1,b2 b1 b3
xwwwwwwwxxwbbbwwwwwwwwwwwwwwwbwwwbwwwbwwwwwbbwbwwwwwwbbwxwwwwwbw b,a1,a7 b7
wwwwwwwwbbbbbbwxwwbwwwwwwwbbwbwwwwwwbwwwwwwwwbwwwwwwwwbxbbbbbbbb b,h2,h7
xwwwwwwwbxwwwbbbbbwbbwbbbwbbwbbbbwbwbwbbbwwwwwbbbwwwwbxbxbbbbbbx w,g2,h1 b7
xwwwwwwwbxwwwbbwbbwbbbbwbwbbbbbwbwbbbwbwbwbwwwbwbbwwwbxwbbbbbbbw w,g2,b7
bbbbbbbxbbbbbbxbbwbwbwbbbwwbwbbbbwbbwwbbbxwbbwwbbwwwwwwbxbbbbbbb b,g7,a1 b3
xwwwwwxxbxwwwwxwbwwwwwwwbwwwwwwwbwbwbwbwbwwwwbwwbbbbbbbwbbbbbbbb b,h8,b7 g7 g8
xwwwwwxbbxwwwwxbbwwwwwwbbwwwwwwbbwbwbwbbbwwwwbwbbbbbbbbbbbbbbbbb b,g8,g7 b7
xwwwwwxbbbwwwwxbbbbwwwwbbbwbwwwbbbbwbwbbbbwwwbwbbbbbbbbbbbbbbbbb b,g8,g7
bbbbbbbwbwwwwwwwbwwwwwbwbwbwwwbwbwbwwwbwbwwwwwwwbwwwwwxwbwwwwwwx b,h1,g2
xwwwwwwwbbbbbbwwbbbwbwwwbbbbwbwwbbbwwbwwbbbbwbwwbxbbbwwwxxbbbbbb w,a8,b2 b1
wwwwwwwwbwbbbbwwbbwwbwwwbbbwwbwwbbbwwbwwbbbbwbwwbxbbbwwwxxbbbbbb w,a1,b2 b1
bbbbbbbbwbbbwwwbwbbwbwwbwbwbwbwbwwwwbbwbwwwwwbwbxxwbbwbbbbbbbbbb b,a2,b2
xxbbbbwwwbbbbwwwwbwwwwwwwbwwwwwwwbbwwbwwwbwwbwwwwwwwwbwwwwwwwwww w,b8,a8
xbbbbbbbbwwwwbbwbwwbbbbbbwbwbbwbbbwbbbwbbbbbbwwbbbwwwwwxbbbbbbxx b,h2,g1 h1 a8
bxxwbbbbbbwwwwbbbbbwwwbbbbbbwbbbbbbbbwbwbbwwwwwxbbbbbwwxbbbbbbbx b,h2,c8 h1 h3
bxxwbbbbbbwwwwbbbbbwwwbbbbbbwbbbbbbbbwbbbbbbbbwbbbbbbwwwbbbbbbbx b,h1,c8
bxxwbbbbbbwwwwbbbbbwwwbbbbbbwbbbbbbbbwbbbbbbbbwbbbbbbwbbbbbbbbbb b,b8,c8
xwwwwwxxbwwbwwxxbwwwwwwwbwbbwbbbbwbbbbbbbwwbbbbwbwwwbbbwbbbbbbbb b,a8,h7 g8 g7
bbbbbbbxbbwbwwwxbwbwbwwwbwbbwbbbbwbbbbbbbwwbbbbwbwwwbbbwbbbbbbbb b,h8,h7
xbbbbbbxbwwwwbbbbwwbbbbbbwbwbbbbbwwbbbbbbwbbbwbbbbwwwwxbbbbbbbbx b,a8,g2
bbbbbbbbbwwwbwwwbwwbwbwwbwwwbwbwbwwwwwbwbwwwwwwwxxwwwwwwxxwwwwbw b,a2,b2 b1
wbbbbbxxwbbbbbbbwbwbbbbbwbbwbbbbwbbbwwbbwbbwbwbbwbbbbbxbwwwwwwww w,g2,h8 g8
wbbbbbxxwbbbbbbbwbwbbbbbwbbwbbbbwbbbwwbbwbbwbwbbwwwwwwwbwwwwwwww w,g8,h8
wwwwwwxxbbbbwwwxwbbbbwwbwbbbbwwbwbwwbbwbwbwbbbwbxwbwwwwbwbbbbbbb b,a2,h8 h7 g8
wwwwwwbxbbbbwbbxbbbbbwbbbbbbbwbbbbwwbbbbbbwbbbbbbbbwwwbbwbbbbbbb w,h8,h7
xwwwwwwxxwwwwwxbbwwwbbbbbwwbbbwbbwwbbwwbbwbbwwwbwwwbwwwbbbbbbbbb b,a8,a7
bbbbbbwbwbbwwwwbwbbwwbwbbbwbbbwbbbbwbwbbbbwwwwbbxwbbbbxbxbbbbbbx b,a1,g2 a2
